train_condition,test_condition,phase,precision,recall,f1,jaccard
CRF23,CRF23,ClippingCutting,77.18603814321699,78.71559633027523,77.94331395348837,63.85829115808276
CRF23,CRF23,GallbladderDissection,87.1930514351074,91.05976333569748,89.08446846583647,80.31739760305544
CRF23,CRF23,GallbladderPackaging,76.37818612922347,85.44429708222812,80.65727699530515,67.58457907159718
CRF23,CRF23,CleaningCoagulation,70.90540751129811,87.11468504690791,78.1786941580756,64.17489421720734
CRF23,CRF23,GallbladderRetraction,85.66159520516366,75.25313892264074,80.12074169900819,66.83453237410072
CRF23,CRF28,Preparation,95.02743484224966,77.66255605381166,85.47193090684763,74.62967950444384
CRF23,CRF28,CalotTriangleDissection,93.36922447866975,90.60908670061504,91.96845108239636,85.1311047595377
CRF23,CRF28,ClippingCutting,89.92117117117117,58.60550458715596,70.96200844256832,54.9931129476584
CRF23,CRF28,GallbladderDissection,85.901764890173,92.11616708350442,88.90049715397362,80.01880735432407
CRF23,CRF28,GallbladderPackaging,77.17201166180759,87.76525198938992,82.12845175302513,69.67623058699658
CRF23,CRF28,CleaningCoagulation,71.15779497709683,86.25311123875167,77.98165137614679,63.90977443609023
CRF23,CRF28,GallbladderRetraction,78.14920505503466,77.64277035236938,77.89516456724908,63.793677204658906
CRF23,CRF35,Preparation,99.2087415222306,73.79484304932735,84.63516554162649,73.36305377542492
CRF23,CRF35,CalotTriangleDissection,93.35111911856421,89.09132993849613,91.17149431510559,83.77538011877739
CRF23,CRF35,ClippingCutting,83.74542124542124,67.11926605504587,74.5161947443471,59.383116883116884
CRF23,CRF35,GallbladderDissection,84.84900362939122,92.50438612863489,88.51147423877131,79.39065803805985
CRF23,CRF35,GallbladderPackaging,76.67804323094425,89.38992042440319,82.54745866503367,70.281543274244
CRF23,CRF35,CleaningCoagulation,74.30579362358588,82.9982768523837,78.41186578637968,64.48973519785778
CRF23,CRF35,GallbladderRetraction,80.31937850668969,75.3746456055083,77.76849143334726,63.623931623931625
CRF23,CRF51,Preparation,97.7061376317421,44.17040358744394,60.83767612430033,43.71705963938974
CRF23,CRF51,CalotTriangleDissection,86.36856653021238,81.6248925335626,83.92975536779832,72.30944987989923
CRF23,CRF51,ClippingCutting,77.36842105263158,26.972477064220186,40.0,25.0
CRF23,CRF51,GallbladderDissection,74.30557701220454,89.77192131098585,81.3098015349765,68.50591083891183
CRF23,CRF51,GallbladderPackaging,63.545719844357976,86.63793103448276,73.31649831649831,57.87375415282392
CRF23,CRF51,CleaningCoagulation,67.25506072874494,79.51368945050737,72.87243376030882,57.32229123533471
CRF23,CRF51,GallbladderRetraction,76.77772252610642,62.53543944916971,68.92857142857143,52.58855585831063
CRF28,Original,Preparation,98.00613496932516,71.63677130044843,82.7720207253886,70.60773480662984
CRF28,Original,CalotTriangleDissection,93.8569954087625,87.19992064016931,90.40607483844427,82.49186686686687
