condition,video,frames,accuracy,precision_macro,recall_macro,jaccard_macro,prec_Preparation,prec_CalotTriangleDissection,prec_ClippingCutting,prec_GallbladderDissection,prec_GallbladderPackaging,prec_CleaningCoagulation,prec_GallbladderRetraction,rec_Preparation,rec_CalotTriangleDissection,rec_ClippingCutting,rec_GallbladderDissection,rec_GallbladderPackaging,rec_CleaningCoagulation,rec_GallbladderRetraction,jac_Preparation,jac_CalotTriangleDissection,jac_ClippingCutting,jac_GallbladderDissection,jac_GallbladderPackaging,jac_CleaningCoagulation,jac_GallbladderRetraction
CRF28,video54,3100,0.932258064516129,0.8711081023749812,0.8662633804092484,0.7481177330591072,0.9661016949152542,0.9518072289156626,0.9302325581395349,0.9988518943742825,0.7553191489361702,0.9954441913439636,0.5,0.456,0.9983150800336984,0.8205128205128205,0.9549945115257958,0.9726027397260274,0.8792756539235412,0.9821428571428571,0.44881889763779526,0.95028067361668,0.7729468599033816,0.9539473684210527,0.7395833333333334,0.875751503006012,0.4954954954954955
CRF28,video55,1037,0.9334619093539055,0.9031277172523146,0.8988318217159456,0.8179239322104638,1.0,0.9408163265306122,0.8928571428571429,1.0,0.8596491228070176,0.6285714285714286,1.0,1.0,1.0,0.6329113924050633,0.9174311926605505,0.9074074074074074,0.9565217391304348,0.8775510204081632,1.0,0.9408163265306122,0.5882352941176471,0.9174311926605505,0.7903225806451613,0.6111111111111112,0.8775510204081632
CRF28,video56,1834,0.9045801526717557,0.8687366822210688,0.8486659400147266,0.729588883865686,1.0,0.9407407407407408,0.9019607843137255,0.9907834101382489,0.5658536585365853,0.9318181818181818,0.75,0.4857142857142857,0.998876404494382,0.9583333333333334,0.8269230769230769,1.0,0.7884615384615384,0.8823529411764706,0.4857142857142857,0.9397463002114165,0.8679245283018868,0.8206106870229007,0.5658536585365853,0.7454545454545455,0.6818181818181818
CRF28,video57,2632,0.9460486322188449,0.9075192605924162,0.9163386245975423,0.8438764550084603,0.9539473684210527,0.9927385892116183,0.893491124260355,0.9396186440677966,0.8202247191011236,0.8055555555555556,0.9470588235294117,1.0,0.976530612244898,0.766497461928934,0.9589189189189189,0.9012345679012346,0.8111888111888111,1.0,0.9539473684210527,0.9696048632218845,0.7023255813953488,0.9032586558044806,0.7525773195876289,0.6783625730994152,0.9470588235294117
CRF28,video58,5993,0.7315201067912565,0.6420092013492831,0.797707241136867,0.5316809406938193,0.36097560975609755,0.9276867758689572,0.4004550625711035,0.6598602901665771,0.5315315315315315,0.8701923076923077,0.7433628318584071,0.925,0.6855624446412755,0.5222551928783383,0.9260935143288085,1.0,0.6678966789667896,0.8571428571428571,0.35071090047393366,0.6507847533632287,0.29308909242298087,0.6268504338948443,0.5315315315315315,0.6073825503355704,0.6614173228346457
CRF28,video59,1046,0.9282982791586998,0.9336275581419856,0.8656468585773869,0.8029172255799997,1.0,0.9478079331941545,1.0,0.9218241042345277,0.9782608695652174,0.6875,1.0,1.0,1.0,0.5375,0.9691780821917808,0.6818181818181818,0.9821428571428571,0.8888888888888888,1.0,0.9478079331941545,0.5375,0.8955696202531646,0.6716417910447762,0.6790123456790124,0.8888888888888888
CRF28,video60,2532,0.7377567140600316,0.7173046690339334,0.7794006412442016,0.5799312119703475,0.9552238805970149,0.9871071716357775,0.8987341772151899,0.14626865671641792,0.911504424778761,0.6071428571428571,0.5151515151515151,0.9907120743034056,0.6889763779527559,0.8452380952380952,0.9245283018867925,0.9537037037037037,0.18085106382978725,0.8717948717948718,0.9467455621301775,0.6828316610925307,0.7717391304347826,0.14454277286135694,0.8728813559322034,0.1619047619047619,0.4788732394366197
CRF28,video61,4409,0.8763892039011114,0.7993352433158268,0.7517722038003846,0.5883407456552268,0.990625,0.7319665907365224,0.8470588235294118,0.9944253859348199,0.3894230769230769,0.9375,0.7043478260869566,0.7075892857142857,0.9989637305699481,0.3769633507853403,0.9065676309616888,1.0,0.42857142857142855,0.84375,0.7028824833702882,0.7314112291350531,0.35294117647058826,0.9019836639439907,0.3894230769230769,0.4166666666666667,0.6230769230769231
CRF28,video62,2032,0.9507874015748031,0.8865780156958495,0.9306939895569409,0.837012978145534,1.0,0.998017839444995,0.6777777777777778,0.9399727148703957,0.8541666666666666,0.8611111111111112,0.875,1.0,0.9411214953271028,0.8714285714285714,0.9842857142857143,0.7592592592592593,0.9587628865979382,1.0,1.0,0.9393656716417911,0.6161616161616161,0.9260752688172043,0.6721311475409836,0.8303571428571429,0.875
CRF28,video63,3433,0.8132828429944655,0.6838873657501603,0.7877612410471635,0.5382183243754199,1.0,0.98014440433213,0.6818181818181818,0.981694560669456,0.7790697674418605,0.2046908315565032,0.15979381443298968,0.55,0.9219015280135824,1.0,0.8214442013129103,0.5403225806451613,0.9056603773584906,0.775,0.55,0.905,0.6818181818181818,0.809051724137931,0.46853146853146854,0.20041753653444677,0.15270935960591134
