train_condition,test_condition,videos,frames_total,mean_video_accuracy,std_video_accuracy,mean_video_precision,mean_video_recall,mean_video_f1,mean_video_jaccard,phase_prec_Preparation,phase_rec_Preparation,phase_f1_Preparation,phase_jac_Preparation,phase_prec_CalotTriangleDissection,phase_rec_CalotTriangleDissection,phase_f1_CalotTriangleDissection,phase_jac_CalotTriangleDissection,phase_prec_ClippingCutting,phase_rec_ClippingCutting,phase_f1_ClippingCutting,phase_jac_ClippingCutting,phase_prec_GallbladderDissection,phase_rec_GallbladderDissection,phase_f1_GallbladderDissection,phase_jac_GallbladderDissection,phase_prec_GallbladderPackaging,phase_rec_GallbladderPackaging,phase_f1_GallbladderPackaging,phase_jac_GallbladderPackaging,phase_prec_CleaningCoagulation,phase_rec_CleaningCoagulation,phase_f1_CleaningCoagulation,phase_jac_CleaningCoagulation,phase_prec_GallbladderRetraction,phase_rec_GallbladderRetraction,phase_f1_GallbladderRetraction,phase_jac_GallbladderRetraction
CRF28,CRF23,32,76757,0.8823506119157389,0.06006160224034179,0.8428242208883517,0.7911570731018219,0.783643110986939,0.6905463941181207,0.9844179651695693,0.602017937219731,0.7471304347826088,0.5963353692393115,0.9069880297638305,0.927022022353019,0.9168956043956044,0.8465440710209258,0.836713359816015,0.7343119266055046,0.7821753151568456,0.6422725084256139,0.8738565581064246,0.9164582477882713,0.8946505356752423,0.8093825206870405,0.7618376550169109,0.8962201591511937,0.823583180987203,0.7000777000777001,0.7934472934472935,0.7465058395558108,0.7692611226201046,0.6250400769477397,0.8550537634408603,0.8051842851356824,0.8293700458906967,0.7084818246614397
CRF28,CRF28,32,76757,0.8929720243596275,0.06511815092383916,0.8403134648695154,0.8397019930027478,0.8160603253042188,0.7253964115040502,0.9281218946671083,0.7853139013452914,0.850766661606194,0.7402906208718626,0.9458800585080449,0.8980887507439984,0.9213650858267182,0.8541954962888414,0.7976045473000406,0.7209174311926605,0.7573245952197378,0.6094307429812316,0.8807081285174895,0.9229534510433387,0.9013360552649327,0.8203928595129073,0.73568281938326,0.8859416445623343,0.8038507821901325,0.6720321931589537,0.753755364806867,0.8070074669730041,0.7794729542302358,0.6386363636363637,0.7507142857142857,0.8513568246253544,0.7978743594609984,0.6637196084622671
CRF28,CRF35,32,76757,0.8806679096402067,0.06186520641760518,0.842002472325879,0.7952911094362878,0.7876860199112661,0.6925303812237023,0.9892294946147473,0.6692825112107623,0.79839518555667,0.664440734557596,0.9086566967520917,0.9121420540969513,0.9103960396039604,0.8355293048614266,0.8112962562215971,0.6878899082568808,0.7445139509482673,0.5930085416007592,0.8674996470422137,0.9174661241554369,0.8917835307777434,0.8047015682807844,0.7327102803738318,0.9098143236074271,0.8117142434551102,0.6830968384366443,0.7942961165048543,0.7518667432510052,0.7724992623192682,0.6293269230769231,0.8279982927870252,0.7857432158768732,0.8063175394846218,0.6754874651810585
CRF28,CRF51,32,76757,0.8039666399562418,0.08852777199579179,0.7589802683236468,0.6462127408682649,0.640700899155729,0.5327454453861495,0.9716867469879518,0.4520739910313901,0.6170619739862281,0.44619640387275245,0.8068501346096321,0.8919052972686992,0.8472483980399548,0.7349791547453609,0.7909571344685848,0.2471559633027523,0.37662519222703766,0.2320013778849466,0.7865288429476492,0.880510657359364,0.83087056834393,0.710674580458558,0.6575875486381323,0.8405172413793104,0.7378838597001893,0.584640221402214,0.7437149133512326,0.5833811985448976,0.653862660944206,0.4857325043838674,0.8086053412462908,0.6622114216281896,0.72812291249165,0.5724789915966386
CRF35,Original,32,76757,0.8701432007929388,0.07281012196662874,0.8400402087120156,0.7864841335236348,0.7833113247725894,0.6850052841775741,0.9860060514372163,0.7306614349775785,0.8393432066967161,0.7231622746185853,0.935449281578383,0.8654189537728986,0.8990724836825833,0.8166500249625561,0.8357715903728173,0.649908256880734,0.7312138728323699,0.5763097949886105,0.8301713686555916,0.9457613199447534,0.8842046485656453,0.7924433879644689,0.7180490349504434,0.9127984084880637,0.8037956204379563,0.6719550890895778,0.7751923781604984,0.8100708405131151,0.7922479168617171,0.655968992248062,0.8557046979865772,0.7229647630619684,0.7837541163556532,0.644404332129964
CRF35,CRF18,32,76757,0.8686846064313766,0.062071436866144324,0.82525658039755,0.7461217035108827,0.7426375296036214,0.6392256970535865,0.994833255049319,0.593609865470852,0.7435492364402317,0.5917854149203688,0.8862980165704243,0.9338337411546855,0.9094451421762793,0.8339288350804666,0.8112359550561797,0.5961467889908257,0.6872554204124802,0.5235256203673864,0.8795101443977335,0.8980925006532532,0.888704196217494,0.799700847598471,0.6258644536652835,0.9001989389920424,0.7383736741909165,0.5852554429834016,0.7778426791277259,0.7648860807964771,0.7713099720050198,0.6277498428661219,0.8704663212435233,0.6804374240583232,0.7638099568083656,0.6178742184626701
CRF35,CRF23,32,76757,0.8743341364304671,0.06268502357920737,0.830131126791424,0.7580551535488915,0.7559301638398613,0.6591783577810193,0.9799059427105601,0.6423766816143498,0.7760284408329102,0.6340248962655601,0.9147638308977035,0.9272865551220157,0.9209826266872475,0.8535382742352762,0.8842485176591905,0.6293577981651376,0.7353414085110943,0.5814544838108154,0.8469043151969982,0.9267609839859644,0.8850349351204905,0.793778175656233,0.7059423616424382,0.9177718832891246,0.7980394983422229,0.6639481890141521,0.7844643619291507,0.7038100708405132,0.7419517610253306,0.5897641585111504,0.8857725650178481,0.7035236938031592,0.7841986455981941,0.6450055699962867
CRF35,CRF28,32,76757,0.8785734282331926,0.07614521094939457,0.8486286785081629,0.7737885586645099,0.7736607618315902,0.6787300541987675,0.9731855559528065,0.7628923766816144,0.8553024351924587,0.747186384847653,0.9209184512648443,0.9256993585080352,0.9233027159842351,0.8575323163634135,0.9366401158580738,0.47467889908256883,0.6300535801266439,0.4599111111111111,0.8478077713746504,0.9390794729179888,0.8911126067089371,0.8036096470212426,0.7054741711642252,0.9101458885941645,0.7948458085999711,0.6595386833253244,0.8029197080291971,0.7792456442657476,0.7909055577147299,0.6541305046608807,0.8444136657433057,0.7407857432158769,0.7892125134843582,0.6518175338560228
CRF35,CRF35,32,76757,0.882014567766932,0.06665216676389685,0.830128349299164,0.8103882987172684,0.7932655654720793,0.6984986911092028,0.9887843704775687,0.76597533632287,0.863234365129501,0.7593776048902473,0.9471874667706377,0.8836386482375505,0.9143101531092294,0.8421467288541535,0.7759336099585062,0.7205504587155963,0.747217201027495,0.596445929526124,0.8530250347705146,0.9157863302101609,0.8832922284829611,0.7909788496259995,0.6816460489775309,0.8952254641909815,0.7739716210405619,0.6312836100070143,0.7433164424253014,0.8144744399770247,0.7772702357025397,0.6356843992827257,0.8017582417582417,0.7387606318347509,0.7689713322091063,0.6246575342465753
CRF35,CRF51,32,76757,0.8049798622897868,0.09950631184781665,0.7561360986365717,0.6674368835372084,0.6568567600330679,0.5476623405393753,0.9753024193548387,0.5423206278026906,0.6970461095100865,0.5349737351396184,0.8480737071277569,0.8887639706368626,0.8679421974650844,0.7666942408078272,0.7174657534246576,0.2306422018348624,0.3490697028603166,0.2114381833473507,0.7768651843705969,0.8438538205980066,0.8089750930432293,0.6792260080524007,0.5372182050191407,0.8375331564986738,0.6545737237626328,0.48651771956856704,0.7106335679881438,0.7344438062416236,0.7223425289520762,0.5653647752394989,0.822921559417567,0.7095990279465371,0.7620704654197477,0.6156008432888265
CRF51,Original,32,76757,0.8531869291194315,0.08057343948671038,0.8440203994661479,0.7274516698415119,0.7383599601613329,0.6327429674905132,0.9888211382113821,0.5454035874439462,0.7030346820809248,0.5420612813370473,0.857999878189902,0.9316513458104623,0.8933100824350033,0.8071909468557513,0.9199819168173599,0.37339449541284403,0.5311929000261029,0.36164919139861385,0.8250381256065438,0.8885736682966889,0.8556280440682231,0.7476835128938029,0.722177527487262,0.8929045092838196,0.7985174203113418,0.6646100691016782,0.7964771204288723,0.7964771204288723,0.7964771204288723,0.6617881005408845,0.8930232558139535,0.6998784933171325,0.784741144414169,0.6457399103139013
CRF51,CRF18,32,76757,0.7807271138834768,0.11591701894266927,0.8227317057784305,0.6555185000933709,0.666954799984181,0.5516540420514782,0.9978510028653295,0.390414798206278,0.5612409347300564,0.3900868104172501,0.7002836208934058,0.9797301765756233,0.8167659058330575,0.6902825990727582,0.8661496965610249,0.4713761467889908,0.6105038022813689,0.43937061741063793,0.8788050476435746,0.6369032065399978,0.7385507748246904,0.5854780042550272,0.6762692527096407,0.7861405835543767,0.7270775835633243,0.5711876656227415,0.7528475863315857,0.7972429638139,0.7744095220383114,0.631866464339909,0.8738518064911206,0.5779667881733496,0.6957581667479279,0.5334579439252336
CRF51,CRF23,32,76757,0.8421216293783851,0.08241171634194605,0.8278659702692801,0.6954137722313843,0.7061275321240142,0.6022306469613368,0.9856887298747764,0.4632847533632287,0.6303145853193517,0.4601893095768374,0.8245303681239997,0.9709675286026056,0.8917773897198391,0.8046915677838371,0.9462242562929062,0.45522935779816515,0.6147175421209118,0.44374888213199787,0.8572563559322034,0.8458322445779984,0.8515059844798106,0.7414109024278516,0.6896551724137931,0.8488063660477454,0.760998810939358,0.6142034548944337,0.7592156862745097,0.7413363967068735,0.7501695243630728,0.6002170206169586,0.9319175515302935,0.604293236127987,0.7331695331695331,0.5787432117920869
CRF51,CRF28,32,76757,0.81304582705891,0.0881761445384241,0.8148064249231322,0.6527313112506636,0.6571493049396979,0.5466883959414941,0.9691056910569106,0.5011210762331838,0.6606318123037133,0.49324137931034484,0.780734164429441,0.9712320613716025,0.8656263354110486,0.7630874749941545,0.9610108303249097,0.24422018348623853,0.38946598390636433,0.24182412790697674,0.8458912266772529,0.7954010974653776,0.8198695627080167,0.6947279188810277,0.6461612981351417,0.8846153846153846,0.7468159552134359,0.5959347777529596,0.7655656795747912,0.7721615929542408,0.768849490039081,0.6244967482192629,0.9454131918119788,0.5050627784528149,0.6583949313621964,0.4907516725698544
CRF51,CRF35,32,76757,0.8371326428573564,0.08661752529869682,0.842825730305309,0.7193154014920298,0.7288510567897032,0.6215345442055147,0.9944862155388471,0.5560538116591929,0.713284199173108,0.5543447890472198,0.8111180405941717,0.9461345149130349,0.8734393601758295,0.775314997967755,0.8850371418464804,0.45908256880733944,0.6045668720550924,0.43324675324675327,0.8498699079647393,0.8169397887192504,0.8330795584316711,0.7139129016473659,0.7547892720306514,0.8491379310344828,0.7991886409736308,0.6655405405405406,0.7578207381370826,0.8255791690599272,0.7902501603592046,0.6532343584305408,0.8827397260273973,0.6524908869987849,0.7503493246390311,0.6004472605292583
CRF51,CRF51,32,76757,0.8073296533946287,0.11927242973695046,0.7810807226546064,0.7547639214324819,0.7276160693869895,0.6207463855930686,0.9401313248358439,0.6821748878923767,0.7906447945427968,0.6537738383024443,0.9401975868491376,0.7678394286092189,0.8453221696396068,0.7320848702670324,0.762989095574086,0.4365137614678899,0.5553221288515406,0.3843916626272419,0.7339753419616022,0.8933517488521409,0.805859079047058,0.6748442038180639,0.5965119019561631,0.8391909814323607,0.6973412315745972,0.5353214890016921,0.6131616595135908,0.8206011870572468,0.7018750511749775,0.5406837391194651,0.764424990051731,0.7780477926285946,0.7711762344439985,0.6275726886638353
