train_condition,test_condition,video,frames,accuracy,precision_macro,recall_macro,f1_macro,jaccard_macro,prec_Preparation,rec_Preparation,f1_Preparation,jac_Preparation,prec_CalotTriangleDissection,rec_CalotTriangleDissection,f1_CalotTriangleDissection,jac_CalotTriangleDissection,prec_ClippingCutting,rec_ClippingCutting,f1_ClippingCutting,jac_ClippingCutting,prec_GallbladderDissection,rec_GallbladderDissection,f1_GallbladderDissection,jac_GallbladderDissection,prec_GallbladderPackaging,rec_GallbladderPackaging,f1_GallbladderPackaging,jac_GallbladderPackaging,prec_CleaningCoagulation,rec_CleaningCoagulation,f1_CleaningCoagulation,jac_CleaningCoagulation,prec_GallbladderRetraction,rec_GallbladderRetraction,f1_GallbladderRetraction,jac_GallbladderRetraction
CRF35,CRF23,video54,3100,0.8435483870967742,0.8967948302608258,0.8230980683075547,0.8342332127237481,0.7254100191779038,1.0,0.504,0.6702127659574468,0.504,0.7428035043804756,1.0,0.8524236983842012,0.7428035043804756,0.9754601226993865,0.8153846153846154,0.8882681564245811,0.7989949748743719,0.976068376068376,0.6267837541163557,0.7633689839572193,0.6172972972972973,0.6697247706422018,1.0,0.8021978021978022,0.6697247706422018,0.9706498951781971,0.93158953722334,0.9507186858316222,0.9060665362035225,0.9428571428571428,0.8839285714285714,0.9124423963133641,0.8389830508474576
CRF35,CRF23,video55,1037,0.9189971070395371,0.8987936666508095,0.8044307372112021,0.819789325995227,0.715962582336113,1.0,0.7619047619047619,0.8648648648648648,0.7619047619047619,0.9146825396825397,1.0,0.9554404145077721,0.9146825396825397,0.9318181818181818,0.5189873417721519,0.6666666666666666,0.5,1.0,0.9663608562691132,0.9828926905132193,0.9663608562691132,0.8307692307692308,1.0,0.907563025210084,0.8307692307692308,0.6142857142857143,0.9347826086956522,0.7413793103448276,0.589041095890411,1.0,0.4489795918367347,0.6197183098591549,0.4489795918367347
CRF35,CRF23,video56,1834,0.9051254089422028,0.9021673267961609,0.8279224438262773,0.8365846318815884,0.7366814284972805,1.0,0.4,0.5714285714285715,0.4,0.9302325581395349,0.9887640449438202,0.9586056644880173,0.9205020920502092,0.9347826086956522,0.8958333333333334,0.9148936170212766,0.8431372549019608,0.9676025917926566,0.8615384615384616,0.9114954221770092,0.8373831775700935,0.5979381443298969,1.0,0.7483870967741935,0.5979381443298969,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.7931034482758621,1.0,0.7647058823529411,0.8666666666666666,0.7647058823529411
CRF35,CRF23,video57,2632,0.9080547112462006,0.9289396200532789,0.8224820969302452,0.8403821048505071,0.7612739770953647,1.0,0.7931034482758621,0.8846153846153846,0.7931034482758621,0.9682875264270613,0.9346938775510204,0.9511941848390447,0.906930693069307,0.8564102564102564,0.8477157360406091,0.8520408163265307,0.7422222222222222,0.8447488584474886,1.0,0.9158415841584158,0.8447488584474886,0.8617021276595744,1.0,0.9257142857142857,0.8617021276595744,0.9714285714285714,0.23776223776223776,0.38202247191011235,0.2361111111111111,1.0,0.9440993788819876,0.9712460063897763,0.9440993788819876
CRF35,CRF23,video58,5993,0.821792090772568,0.8214708899485753,0.7235397671984397,0.7112662815980002,0.592615948925612,1.0,0.1375,0.2417582417582418,0.1375,0.9255079006772009,0.8473575435488633,0.8847102342786682,0.7932559425096739,0.6531531531531531,0.43026706231454004,0.518783542039356,0.3502415458937198,0.6810299527062533,0.9773755656108597,0.8027253019510685,0.6704604242110709,0.6444444444444445,0.9830508474576272,0.7785234899328859,0.6373626373626373,0.8527397260273972,0.9188191881918819,0.8845470692717584,0.7929936305732485,0.993421052631579,0.7704081632653061,0.867816091954023,0.766497461928934
CRF35,CRF23,video59,1046,0.8957934990439771,0.9314596366464555,0.7513321995464851,0.7980713316471248,0.6856415079118182,1.0,0.5428571428571428,0.7037037037037037,0.5428571428571428,0.884990253411306,1.0,0.9389865563598759,0.884990253411306,1.0,0.3375,0.5046728971962617,0.3375,0.9040247678018576,1.0,0.9495934959349593,0.9040247678018576,0.9777777777777777,0.6666666666666666,0.7927927927927928,0.6567164179104478,0.7534246575342466,0.9821428571428571,0.8527131782945736,0.7432432432432432,1.0,0.7301587301587301,0.8440366972477064,0.7301587301587301
CRF35,CRF23,video60,2532,0.6903633491311216,0.6751467908341638,0.6362366041740212,0.5925938934156677,0.48467616094634913,1.0,0.6934984520123839,0.8190127970749543,0.6934984520123839,0.9126925898752751,0.6996625421822272,0.7921044253422477,0.6557722720084344,0.8309859154929577,0.7023809523809523,0.7612903225806451,0.6145833333333334,0.13434903047091412,0.9150943396226415,0.23429951690821252,0.1326949384404925,0.848,0.9814814814814815,0.9098712446351932,0.8346456692913385,0.0,0.0,0.0,0.0,1.0,0.46153846153846156,0.631578947368421,0.46153846153846156
CRF35,CRF23,video61,4409,0.8881832615105466,0.7140573423413229,0.7116304802182688,0.6696666002245515,0.5765634054711565,1.0,0.7299107142857143,0.8438709677419355,0.7299107142857143,0.8437225636523266,0.9958549222797928,0.9134980988593157,0.8407699037620298,0.923728813559322,0.5706806282722513,0.7055016181229774,0.545,0.9696596965969659,0.9245504300234558,0.9465679407644586,0.8985562310030395,0.26129032258064516,1.0,0.4143222506393862,0.26129032258064516,0.0,0.0,0.0,0.0,1.0,0.7604166666666666,0.8639053254437871,0.7604166666666666
CRF35,CRF23,video62,2032,0.8986220472440944,0.9198511189722629,0.8675816851239752,0.889431423296137,0.8041929775548609,1.0,0.85,0.9189189189189189,0.85,0.8721804511278195,0.9757009345794393,0.9210410233789149,0.8536385936222404,0.9074074074074074,0.7,0.7903225806451613,0.6533333333333333,0.9454855195911414,0.7928571428571428,0.8624708624708626,0.7581967213114754,0.8867924528301887,0.8703703703703703,0.8785046728971964,0.7833333333333333,0.9223300970873787,0.979381443298969,0.95,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8260869565217391
CRF35,CRF23,video63,3433,0.863093504223711,0.6834453420165703,0.7594971405361006,0.6543506916728727,0.5292255066301621,1.0,0.44166666666666665,0.6127167630057804,0.44166666666666665,0.9470198675496688,0.9711375212224108,0.958927074601844,0.9210950080515298,0.5769230769230769,1.0,0.7317073170731707,0.5769230769230769,0.996600291403594,0.8980306345733041,0.9447513812154696,0.8952879581151832,0.743421052631579,0.45564516129032256,0.5650000000000001,0.39372822299651566,0.26433915211970077,1.0,0.4181459566074951,0.26433915211970077,0.2558139534883721,0.55,0.34920634920634924,0.21153846153846154
